STT,Loại hình cân,QR phế thải,Nhà máy - Phòng ban,Tên nhà thầu,Biển số xe,Nhóm phế thải,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng anh,Phương pháp xử lí,Đặc tính,Phân loại,Cột biểu đồ,Phương pháp cân,Số vạch,Hệ số,Số Pallet,KL pallet,KL bao bì,KL/đơn vị,Mã xe đẩy,Trọng lượng xe đẩy,KL Tổng,KL bì,KL phế thải,Tên bản ghi,Thời gian tạo,Người vận hành
1,Output,S12W1TT,,Thuận Thành,18AE-1234,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,3,11.00,58.00,0.00,,0.00,180.00,91.00,89.00,20250327-F1-GIAO-TT-18AE1234-02,3/27/2025 4:16:39 PM,,
2,Output,S12W1TT,,Thuận Thành,18AE-1234,Waste Alkaline,S12W1,Lonox 5314; 5611,Nước thải bazo ( Lonox 5314; 5611),Pickling bases (Lonox 5314; 5611)(HW code: 07 01 03),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Thùng phuy và pallet,0,0.00,2,11.00,58.00,0.00,,0.00,180.00,80.00,100.00,20250327-F1-GIAO-TT-18AE1234-02,3/27/2025 4:16:25 PM,,
3,Input,N01W11F1BNA,F1-SMT BNA,,,Waste Plastic,N01W11,Plastic tray,,Plastic tray,Internal Reuse 2,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 4:13:55 PM,,
4,Input,N01W11F1BNA,F1-SMT BNA,,,Waste Plastic,N01W11,Plastic tray,,Plastic tray,Internal Reuse 2,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 4:13:40 PM,,
5,Input,N01W11F1BNA,F1-SMT BNA,,,Waste Plastic,N01W11,Plastic tray,,Plastic tray,Internal Reuse 2,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 4:13:21 PM,,
6,Output,M01W2TT,,Thuận Thành,18AE-1234,Household Waste,M01W2,Hút bể phốt,Bùn từ hệ thống xử lý nước thải sinh hoạt; bể phốt; bể mỡ,Sludge from domestic wastewater treatment systems; septic tanks; grease traps,Recycle,Không nguy hại; không tái chế,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,1415.00,20250327-F1-GIAO-TT-18AE1234-01,3/27/2025 3:23:52 PM,,
7,Input,N01W12F1WWT,F1-WWT,,,Waste Plastic,N01W12,Plastic pallet,,Plastic pallet,Internal Reuse 3,Tái chế,Rác bán lấy tiền,In_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 2:57:23 PM,,
8,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:57:07 PM,,
9,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:57:04 PM,,
10,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:57:01 PM,,
11,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:59 PM,,
12,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:56 PM,,
13,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:54 PM,,
14,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:50 PM,,
15,Output,N02W5TL,,Thăng Long,17M7-6429,Waste Paper,N02W5,Giấy trắng,White paper scrap (Phế liệu giấy loại 2) ,White paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250327-F1-GIAO-TL-17M76429-02,3/27/2025 2:56:47 PM,,
16,Input,N01W1F1DEE,F1-DE,,,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 2:56:28 PM,,
17,Input,N01W1F1DEE,F1-DE,,,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250327-F1-NHAN,3/27/2025 2:56:19 PM,,
18,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:56 PM,,
19,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:52 PM,,
20,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:49 PM,,
21,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:46 PM,,
22,Output,S13W1TTP,,Tân Thuận Phong,19DS-3243,Other Hazardous Waste,S13W1,Giẻ lau; găng tay nguy hại,Chất hấp thụ; vật liệu lọc; giẻ lau; găng tay dính dầu mỡ; dính mực,Absorbents; filter materials; wiping cloths; protective clothing contaminated by dangerous substances (HW code: 18 02 01),Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TTP-19DS3243-01,3/26/2025 12:41:38 PM,,
23,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:39:03 PM,,
24,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:37:32 PM,,
25,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:37:09 PM,,
